content,class

"""@Detroit2Cycle @SirBurgh @SenSchumer when there was a pandemic happening. Which both Trump and Biden Administrations did. I just don't understand why Trump forgave the PPP loans. If you believe in trickle down economics did you get a big pay rise after Trump gave those tax cuts to the corporations and the rich?""",0
"""RT @katea76: under this albanese labor gov i have received a tax cut, wage rise, local satellite hospital, energy rebate, cheaper medicine,…""",0
"""RT @hoddo461: @lesstenny Yes, well maybe not great but certainly good. FDRs (socialist) ""New Deal"" led the US out of depression and to pros…""",1
"""RT @PeterPaulGuy: 🇮🇪🚨  Foreign wealth from billionaires such as George Soros - Open Society Foundation are funding the unelected and unacco…""",0
"""RT @katea76: under this albanese labor gov i have received a tax cut, wage rise, local satellite hospital, energy rebate, cheaper medicine,…""",0
"""RT @Labella_Mafia95: Ile statement ya Makonda ina maana kubwa sana kisiasa.   Gambo atahitaji kufanya lobbying ya hatari sana kurudisha ima…""",1
"""@EndWokeness Here is where your tax money is going to LA. You voted for this crap. Think about this, @MayorOfLA cut YOUR FIRE DEPARTMENT BY $17.6 MILLION DOLLARS.  $17.6 MILLION""",0
"""RT @KEdge23: I think we should cut the foreign aid budget by a few billion, then give the winter fuel allowance back to our pensioners and…""",0
"""RT @INCKerala: Now 16 ultra rich people bought this car in 2024, and together received a tax subsidy of 71.6 Cr at the least, if you don't…""",0
"""@jameslmorton @paulg @ScooterCasterNY We don’t tax things because they are a limited resource. I agree that this will only benefit the rich.  The avg person is priced out and forced out or relegated to take the cheaper, dangerous subway.  The rich in NYC used the subway all the time before crime spiked. Let’s fix it!""",1
"""@Channel4News Squeeze the poor and disabled or tax the rich.  What do you think is their goto? Their ideological choice.  Make no mistake,  it's ideological and to appease the rich donors who donated,  bought them and our democracy.""",0
"""@krassenstein Ultimate King maker of the Neo-Con, war lobbyist cartel, George W ""completely ignores"" the president-elect who cut the legs off of the war machine fueled by the state's military industrial complex... 🤔  Yeah.. 🧐  Seems about right""",0
"""RT @KEdge23: I think we should cut the foreign aid budget by a few billion, then give the winter fuel allowance back to our pensioners and…""",0
"""RT @JoJoFromJerz: We could have had affordable housing, reduced healthcare costs, a higher minimum wage, equitable taxes for the rich, an e…""",0
"""RT @UniteSharon: How can the @GOVUK take away the #winterfuelpayment from vulnerable pensioners and leave the super rich completely untouch…""",0
"""@_exempligratia_ @TrackAIPAC Israeli lobbying is all part of this cesspool of corruption. There’s no difference.""",0
"""RT @PoliticsJOE_UK: How can Labour fix the economy? Tax the rich. https://t.co/zOC8Emmmdo""",1
"""RT @UniteSharon: How can the @GOVUK take away the #winterfuelpayment from vulnerable pensioners and leave the super rich completely untouch…""",0
"""RT @katea76: under this albanese labor gov i have received a tax cut, wage rise, local satellite hospital, energy rebate, cheaper medicine,…""",0
"""RT @JoJoFromJerz: We could have had affordable housing, reduced healthcare costs, a higher minimum wage, equitable taxes for the rich, an e…""",0
"""Since the 1980s, laissez-faire globalization and trickle-down policies have left working people behind all over the world—and left the United States and other democracies more vulnerable, writes U.S. Trade Representative @AmbassadorTai.  https://t.co/20XELscHQq""",0
"""RT @jmhamiltonblog: @zei_squirrel We’ve had 45 years of inanity, supply-side, &amp; trickle down fraud… massive wealth transfer into the hands…""",0
"""RT @UniteSharon: How can the @GOVUK take away the #winterfuelpayment from vulnerable pensioners and leave the super rich completely untouch…""",0
"""@Detroit2Cycle @SirBurgh @SenSchumer What about Trump and the $8 trillion increase. Some of it I understand but giving tax cuts to the rich/corporations isn't one of them. And costing the US Government money from having a trade war with Canada over milk. Those I don't understand. Of course you need to help people""",0
"""RT @BPartisans: Zelensky accuse les entreprises américaines de corruption  Kiev n'a pas reçu la moitié des fonds promis, en raison des prat…""",1
"""@FoxNews where ii the support for North Carolina?,  The rich always come first.  And the tax payers will bail out California again?""",1
"""@steve_ravet @MichaelEMann Total lie!  He's a geophysicist.   And again you fall for oil lobbyist propaganda https://t.co/j3ccdf5w8Z""",0
"""@dhoniredfire @DreamLeaf5 Call of duty is a bloated cash grab and tax writeoff for the rich that literally added skins for pride month  it took me half a second to find that out  Concord still sucks when you pull back the annoying culture war whining. No one would care if the game was good""",0
"""RT @TheDemCoalition: This is a great point 👇  Corporations spend big money lobbying against universal healthcare because it saves billions…""",0
"""Trump should start lobbying for the IOC to take the Olympics away from California until they fix their management issues.""",1
"""@laurenboebert So you are saying NO to a tax cut for billionaires and millionaires? You know, 25% of that $36 trillion debt is from trump’s first term…9 trillion, mostly from trump’s first tax cut.""",0
"""RT @ChrisMartzWX: Supporting nuclear power makes me an oil lobbyist, apparently.  Climate quacks live in a marvelous state of delusion. htt…""",0
"""RT @INCKerala: Now 16 ultra rich people bought this car in 2024, and together received a tax subsidy of 71.6 Cr at the least, if you don't…""",0
"""@evan_1177 @Zephaniah111 @boucher_tax @ArthurCasey514 @TruthbetoldUC @bennyjohnson lol nah. Trump needed to increase oil prices for rich owners of oil companies at the expense off Americans  This literally contradicts your original completely incorrect argument saying  “Biden restrict drilling early”. It was trash bag Trump that restricted oil production""",1
"""@PierrePoilievre Just don’t be like Harper and sell out shit off!!  Make Canada great and the tax paying citizens rich!   We are tired of being taxed to death with less money to spend.""",0
"""RT @INCKerala: Now 16 ultra rich people bought this car in 2024, and together received a tax subsidy of 71.6 Cr at the least, if you don't…""",0
