content,class

"""@DefiyantlyFree @RepThomasMassie You do realize Israel attacked Relief workers right &amp; is murdering Children Those are War Crimes Israel is a welfare handout Queen just like Ukraine AIPAC is also an unregistered foreign lobbyist group I stand with @RepThomasMassie https://t.co/rh1V6cD3gq""",0
"""@SenSchumer This is stupid.  The lower the tax bracket, the bigger the tax cut.   Why do Democrats keep misrepresenting this?""",1
"""RT @SenWarren: Big Tech corporations are lining up to sponsor Donald Trump’s inauguration.  You better believe these CEOs expect a return o…""",0
"""RT @JoJoFromJerz: His tax cut for the rich saddled our country with the 3rd largest debt increase in our nation’s history and he left offic…""",0
"""@JoJoFromJerz Interesting take by a deaf, blind &amp; ignorant JoJo. The Trump tax cuts benefitted everyone, not just the rich. Those tax cuts also spurned record tax revenue. The rich also paid the highest portions of taxes collected since the Trump tax cuts.""",1
"""@WPcky @sulkingtime What are you talking about. They have been hurting and killing people already. Lawfare, assassination (Boeing! Come the fuck on!), and political lobbying. Americans are fed up!""",0
"""RT @SenWarren: Big Tech corporations are lining up to sponsor Donald Trump’s inauguration.  You better believe these CEOs expect a return o…""",0
"""RT @SenWarren: Big Tech corporations are lining up to sponsor Donald Trump’s inauguration.  You better believe these CEOs expect a return o…""",0
"""@TheChiefNerd Just like it always is, the ultra rich externalize all their costs to everyday americans. We subsidize CA to the tune of hundreds of billions a year already. Their incompetence is a tax on the rest of us.""",1
"""RT @JoJoFromJerz: His tax cut for the rich saddled our country with the 3rd largest debt increase in our nation’s history and he left offic…""",0
"""Isn't looting  just wealth  redistribution with no violence tax the rich people  just avoid the middle man and it can be a tax deduction  win win""",0
"""@cenkuygur The top priority of these women in leadership was DEI.  Instead of lobbying for water.""",0
"""RT @UniteSharon: How can the @GOVUK take away the #winterfuelpayment from vulnerable pensioners and leave the super rich completely untouch…""",0
"""RT @katea76: under this albanese labor gov i have received a tax cut, wage rise, local satellite hospital, energy rebate, cheaper medicine,…""",0
"""RT @JoJoFromJerz: We could have had affordable housing, reduced healthcare costs, a higher minimum wage, equitable taxes for the rich, an e…""",0
"""Since the 1980s, laissez-faire globalization and trickle-down policies have left working people behind all over the world—and left the United States and other democracies more vulnerable, writes U.S. Trade Representative @AmbassadorTai.  https://t.co/20XELscHQq""",0
"""RT @jmhamiltonblog: @zei_squirrel We’ve had 45 years of inanity, supply-side, &amp; trickle down fraud… massive wealth transfer into the hands…""",0
"""RT @UniteSharon: How can the @GOVUK take away the #winterfuelpayment from vulnerable pensioners and leave the super rich completely untouch…""",0
"""@Detroit2Cycle @SirBurgh @SenSchumer What about Trump and the $8 trillion increase. Some of it I understand but giving tax cuts to the rich/corporations isn't one of them. And costing the US Government money from having a trade war with Canada over milk. Those I don't understand. Of course you need to help people""",0
"""RT @BPartisans: Zelensky accuse les entreprises américaines de corruption  Kiev n'a pas reçu la moitié des fonds promis, en raison des prat…""",1
"""@FoxNews where ii the support for North Carolina?,  The rich always come first.  And the tax payers will bail out California again?""",1
"""RT @PeterPaulGuy: 🇮🇪🚨  Foreign wealth from billionaires such as George Soros - Open Society Foundation are funding the unelected and unacco…""",0
"""@AriMelber Stop saying Musk received government subsidies. He received government welfare which is tax payer money. Before he cuts the budget he needs to return those subsidies since he’s so rich and shouldn’t need it.""",0
"""RT @katea76: under this albanese labor gov i have received a tax cut, wage rise, local satellite hospital, energy rebate, cheaper medicine,…""",0
"""RT @CitizenBangla24: Tulip Siddiq benefited from her aunt Sheikh Hasina's regime, she also worked “for the Awami League, as part of its UK…""",1
"""RT @SunshineCityCo1: The fact that @fordnation and his gang of dummies are just reintroducing policies and schemes that they cut years ago,…""",1
"""RT @dirtybird12345: Here we have it, @NHS lobbying MP's in favour of PA'S. You couldn't make this up. Then again they are paying @gmcuk's l…""",0
"""@steve_ravet For instance - poor climate models?  Oil lobbyist lie!   https://t.co/78sPlZvBEX""",0
"""The snail moved, glittering with flecks of gold as the sun suddenly emerged from clouds and shone down on them. Cop felt warmth trickle like warm butter through his body as he raised himself on one elbow. “Well, look at you,” he smiled at V.""",1
"""RT @MintPressNews: David Lammy, the UK's Shadow Secretary of State for Foreign, Commonwealth, and Development Affairs, received £70,000 fro…""",0
"""RT @PoliticsJOE_UK: How can Labour fix the economy? Tax the rich. https://t.co/zOC8Emmmdo""",1
"""RT @JoJoFromJerz: His tax cut for the rich saddled our country with the 3rd largest debt increase in our nation’s history and he left offic…""",0
"""@Definingf8 @mikalskuterud Publicly traded for-profit pipeline infrastructure companies who were lobbying the government for the right to build the pipelines disagree with you, but I guess you’d know the business better than they would.""",0
"""@MrNotElonMusk Elon, Who would say no? Maybe one would say no, my, all the tax I would have to pay. Or I would get thousands of calls to invest in fantastic get rich quick schemes.    Of course, I would graciously accept the money, but a better plan would be for you to offer me a job and pay me… https://t.co/lTz6a1WciM""",0
"""@namexnotblank @KosSamaras Tax the useless rich""",1
"""Lmfao They are literally still increasing the prices while killing forms of self employment, employment AND entrepreneurship. Tik Tok creators are cooked, AI throws out 90% of job applications/resumes and all the monopolies/lobbyist are trying to eradicate small business. https://t.co/Zq5TKnsl0j""",0
"""@theJagmeetSingh Hey Jughead,  Your own brother is a lobbyist for the greedy CEO of Metro 1, so tell me this "" What is the difference between him and you?""  Nothing You are doing the same exact thing!  The biggest item that is really different is that you hold 41 million Canadaian's hostage!""",0
"""RT @ManiteeJesus: @JoshuaSchriver Look into AIPAC's involvement in our state politics please! They should be registered under foreign  gove…""",0
"""RT @AndrewW43599783: As we learn an investigation has revealed Loblaw, Sobeys, and Walmart overcharging customers by selling underweighted…""",1
"""RT @JoJoFromJerz: His tax cut for the rich saddled our country with the 3rd largest debt increase in our nation’s history and he left offic…""",0
"""RT @INCKerala: Now 16 ultra rich people bought this car in 2024, and together received a tax subsidy of 71.6 Cr at the least, if you don't…""",0
"""RT @PeterPaulGuy: 🇮🇪🚨  Foreign wealth from billionaires such as George Soros - Open Society Foundation are funding the unelected and unacco…""",0
"""@SarahEMcBride @ChrisCoons @SenatorLBR Sir your quest for pork is a problem.  The citizens of Delaware should pay lower federal taxes and the issues of Delaware should be addressed by the people of Delaware and should not involve a man lobbying for pork from the federal government.""",0
